table_name,column_name,data_type,is_nullable,column_default,referenced_table,referenced_column,constraint_name
ent_risks,threshold_amber,text,YES,null,null,null,null
ent_risks,threshold_green,text,YES,null,null,null,null
ent_risks,external_factors,text,YES,null,null,null,null
ent_risks,dependencies,text,YES,null,null,null,null
ent_vendors,id,character varying,NO,null,null,null,null
ent_vendors,year,integer,NO,null,null,null,null
ent_vendors,quarter,integer,YES,null,null,null,null
ent_vendors,name,character varying,YES,null,null,null,null
ent_vendors,level,character varying,NO,null,null,null,null
ent_vendors,parent_id,character varying,YES,null,ent_vendors,year,ent_vendors_parent_id_parent_year_fkey
ent_vendors,parent_id,character varying,YES,null,ent_vendors,id,ent_vendors_parent_id_parent_year_fkey
ent_vendors,parent_year,integer,YES,null,ent_vendors,year,ent_vendors_parent_id_parent_year_fkey
ent_vendors,parent_year,integer,YES,null,ent_vendors,id,ent_vendors_parent_id_parent_year_fkey
ent_vendors,service_domain,character varying,YES,null,null,null,null
ent_vendors,service_detail,text,YES,null,null,null,null
ent_vendors,contract_value,numeric,YES,null,null,null,null
ent_vendors,performance_rating,integer,YES,null,null,null,null
ent_vendors,service_level_agreements,text,YES,null,null,null,null
jt_ent_capabilities_ent_it_systems_join,ent_capabilities_id,character varying,YES,null,ent_capabilities,id,jt_ent_capabilities_ent_it_sy_ent_capabilities_id_ent_capa_fkey
jt_ent_capabilities_ent_it_systems_join,ent_capabilities_id,character varying,YES,null,ent_capabilities,year,jt_ent_capabilities_ent_it_sy_ent_capabilities_id_ent_capa_fkey
jt_ent_capabilities_ent_it_systems_join,ent_capabilities_year,integer,YES,null,ent_capabilities,year,jt_ent_capabilities_ent_it_sy_ent_capabilities_id_ent_capa_fkey
jt_ent_capabilities_ent_it_systems_join,ent_capabilities_year,integer,YES,null,ent_capabilities,id,jt_ent_capabilities_ent_it_sy_ent_capabilities_id_ent_capa_fkey
jt_ent_capabilities_ent_it_systems_join,ent_it_systems_id,character varying,YES,null,ent_it_systems,year,jt_ent_capabilities_ent_it_sy_ent_it_systems_id_ent_it_sys_fkey
jt_ent_capabilities_ent_it_systems_join,ent_it_systems_id,character varying,YES,null,ent_it_systems,id,jt_ent_capabilities_ent_it_sy_ent_it_systems_id_ent_it_sys_fkey
jt_ent_capabilities_ent_it_systems_join,ent_it_systems_year,integer,YES,null,ent_it_systems,id,jt_ent_capabilities_ent_it_sy_ent_it_systems_id_ent_it_sys_fkey
